,anime_id,Name,English name,Other name,Score,Genres,Synopsis,Type,Episodes,Aired,Premiered,Status,Producers,Licensors,Studios,Source,Duration,Rating,Rank,Popularity,Favorites,Scored By,Members,Image URL
22977,52696,Yin Shun Daoshi Fu,Ven. Yin Shun,印順導師傅,UNKNOWN,Drama,"The story begins in 742AD, when Japanese monks Yoei and Fusho, pay a visit to Jian Zhen, the abbot of Daming Temple in Yangzhou, China, and implore him to help implement Buddhist precepts in their homeland. When his disciples shy away from the task, the abbot volunteers himself. From 743AD, he tries to sail to Japan several times and only succeeds on his sixth attempt. By then he had already lost his eyesight, yet not once did he lose sight of his aspiration nor did he allow his determination to falter. Bringing along with him several Chinese artisans, Jian Zhen, himself a medical practitioner, went on to make major contributions to the development of Buddhism in Japan, as well as to its culture, architecture and traditional Chinese medicine.

(Source: IMDB)",Movie,1.0,"Apr 23, 2005",UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Original,1 hr 22 min,PG-13 - Teens 13 or older,14053.0,21865,0,UNKNOWN,65,https://cdn.myanimelist.net/images/anime/1011/126762.jpg
22978,52697,Hudie Meng: Liang Shan Bo yu Zhu Ying Tai,The Butterfly Lovers: Leon and Jo,蝴蝶夢：梁山伯與祝英台,UNKNOWN,"Drama, Romance","The Butterfly Lovers is an animated re-telling of the classical Chinese story of two lovers, Liang Shanbo and Zhu Yingtai.

(Source: IMDB)",Movie,1.0,"Jan 22, 2004",UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Other,1 hr 35 min,G - All Ages,16627.0,21011,0,UNKNOWN,81,https://cdn.myanimelist.net/images/anime/1581/126763.jpg
22979,52698,Shaonian Ga Ma Lan,Kavalan,少年噶瑪蘭,UNKNOWN,"Drama, Romance",No description available for this anime.,Movie,1.0,1999,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Unknown,1 hr 20 min,PG-13 - Teens 13 or older,19522.0,22933,0,UNKNOWN,49,https://cdn.myanimelist.net/images/anime/1516/126764.jpg
22980,52699,Qingxiu Shanzhuang,Annie's Magic Raccoon,清秀山莊,UNKNOWN,Drama,"Annie and her family are spending the holidays with an old aunt at a remote mountain village. For this city girl, the big adventure begins at The Ching-Hsiow Villa! Here she learns of the old aunt's love story during the Japanese colonial era, meets a magic raccoon, and makes friends with the local Native Taiwanese. Full of surprises - and some minor dangers, too! - this is an unforgettable vacation for Annie and her family.

(Source: Taiwan Cinema)",Movie,1.0,1997,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Original,1 hr,G - All Ages,19114.0,23175,0,UNKNOWN,46,https://cdn.myanimelist.net/images/anime/1592/126765.jpg
22983,52704,Zhongji Da Maoxian,The Ultimate Task,终极大冒险,UNKNOWN,"Adventure, Comedy, Drama",No description available for this anime.,Movie,1.0,"Jul 20, 2013",UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Original,1 hr 23 min,PG-13 - Teens 13 or older,14316.0,21701,0,UNKNOWN,68,https://cdn.myanimelist.net/images/anime/1132/126792.jpg
22984,52705,Taoqi Bao Ma Xiao Tiao (Movie),The Naughty Boy Ma Xiao Tiao,淘气包马小跳,UNKNOWN,Comedy,No description available for this anime.,Movie,1.0,"Jan 20, 2009",UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Unknown,1 hr 23 min,PG - Children,12830.0,21917,0,UNKNOWN,64,https://cdn.myanimelist.net/images/anime/1469/126795.jpg
22985,52706,Dongwu Kuanghuan Jie,Carnival of The Animals,动物狂欢节,UNKNOWN,"Comedy, Fantasy",No description available for this anime.,Movie,1.0,"Jan 28, 2009",UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Original,1 min,PG - Children,15649.0,21653,0,UNKNOWN,68,https://cdn.myanimelist.net/images/anime/1004/126801.jpg
22989,52712,Hai Jiao Tianya,The Magical Tracing,海角天涯,UNKNOWN,Drama,"Grandma asks herself, ""Why do people live so long?"" The next day Grandma disappears. Her grandson and the shoe repairer are frightened and start looking for her. It turns out that Grandma joins a religious procession to express her gratitude.

(Source: Goldenhorse)",Movie,1.0,"Feb 1, 2021",UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Original,12 min,PG-13 - Teens 13 or older,16269.0,21319,0,UNKNOWN,74,https://cdn.myanimelist.net/images/anime/1882/126828.jpg
22990,52713,Daocao Ji,Paddy,稻草记,UNKNOWN,"Adventure, Drama, Fantasy","To find his favourite toy, a scarecrow goes on an adventure. Along the way, he encounters a lot of strange sights. He keeps asking the same question, but no answer comes. In the end, his toy comes back, but something inside him has changed.

(Source: Goldenhorse)",Movie,1.0,"Jul 26, 2021",UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Original,15 min,PG-13 - Teens 13 or older,15507.0,20625,0,UNKNOWN,97,https://cdn.myanimelist.net/images/anime/1220/126829.jpg
22991,52714,Shuizhong de Nuhai,Girl in the Water,水中的女孩,UNKNOWN,Drama,"Girl in the Water is a hand-drawn animation based on the director's personal experiences, painted in watercolour and pastel frame by frame. It depicts femininity and female internal time-consciousness through the healing of a woman's broken heart.

(Source: Goldenhorse)",Movie,1.0,"May 9, 2021",UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,Slow Studio,Original,8 min,PG-13 - Teens 13 or older,19875.0,20853,0,UNKNOWN,86,https://cdn.myanimelist.net/images/anime/1528/126830.jpg
